text,intent
Need assistance urgently,Support
Help me with this problem please,Support
"Hello, Help required",Support
Support needed asap,Support
Support needed asap,Support
I need support urgently,Support
"Hello, Facing login issue",Support
"Hi, Help me with this problem",Support
"Hi, Support needed",Support
"Hi, Any update on my order",Query
"Hi, When will it arrive",Query
"Hello, What is the status",Query
"Hello, How long will it take",Query
When will it arrive,Query
Can you update me please,Query
When will it arrive please,Query
"Hello, Any update on my order",Query
Where is my order,Query
"Hi, Can you update me",Query
"Hi, Any update on my order",Query
"Hello, What is the status",Query
Any update on my order,Query
"Hello, Any update on my order",Query
"Hello, What is the delivery time",Query
"Hi, Tell me the status",Query
"Hello, Where is my order",Query
"Hi, What is the delivery time",Query
Can I get details,Query
"Hello, What is the delivery time",Query
What is the status asap,Query
"Hello, What is the status",Query
"Hello, Where is my order",Query
How long will it take,Query
When will it arrive,Query
"Hello, Can you update me",Query
"Hello, Can I get details",Query
Can I get details please,Query
"Hello, What is the delivery time",Query
Can I get details,Query
Can you update me please,Query
Where is my order,Query
Where is my order,Query
When will it arrive,Query
"Hello, Any update on my order",Query
"Hi, What is the delivery time",Query
When will it arrive asap,Query
What is happening with my order please,Query
Where is my order asap,Query
"Hi, When will it arrive",Query
Where is my order please,Query
Any update on my order asap,Query
Can you update me urgently,Query
What is happening with my order asap,Query
Where is my order asap,Query
How long will it take please,Query
"Hello, What is the delivery time",Query
"Hi, Any update on my order",Query
What is the status,Query
What is happening with my order asap,Query
When will it arrive urgently,Query
"Hi, Can you update me",Query
Where is my order urgently,Query
When will it arrive urgently,Query
"Hi, Any update on my order",Query
"Hello, How long will it take",Query
"Hi, Where is my order",Query
When will it arrive,Query
"Hello, Any update on my order",Query
"Hello, Any update on my order",Query
Can I get details asap,Query
What is happening with my order urgently,Query
How long will it take please,Query
"Hi, What is the status",Query
"Hi, Tell me the status",Query
What is the status urgently,Query
Where is my order please,Query
What is the delivery time urgently,Query
"Hello, Tell me the status",Query
"Hello, Can I get details",Query
Can I get details asap,Query
"Hello, When will it arrive",Query
When will it arrive please,Query
Tell me the status urgently,Query
"Hello, Can I get details",Query
Any update on my order urgently,Query
"Hi, Can I get details",Query
Tell me the status,Query
Can you update me,Query
Where is my order urgently,Query
"Hi, What is the status",Query
"Hello, Can you update me",Query
"Hi, Where is my order",Query
What is happening with my order please,Query
Tell me the status asap,Query
How long will it take,Query
"Hello, Can I get details",Query
Any update on my order asap,Query
"Hi, Can you update me",Query
What is the status urgently,Query
"Hello, Where is my order",Query
"Hello, Where is my order",Query
What is the status urgently,Query
When will it arrive asap,Query
"Hello, What is the status",Query
What is the status asap,Query
When will it arrive,Query
"Hello, What is happening with my order",Query
"Hello, What is happening with my order",Query
How long will it take urgently,Query
Tell me the status asap,Query
Can you update me asap,Query
"Hi, How long will it take",Query
Where is my order urgently,Query
"Hi, Can I get details",Query
"Hi, Can you update me",Query
How long will it take,Query
"Hello, Can I get details",Query
What is the delivery time,Query
"Hi, Where is my order",Query
When will it arrive asap,Query
"Hi, How long will it take",Query
Where is my order please,Query
Any update on my order please,Query
When will it arrive please,Query
"Hi, Where is my order",Query
What is the delivery time urgently,Query
Where is my order asap,Query
How long will it take asap,Query
What is the status asap,Query
"Hello, Any update on my order",Query
Tell me the status urgently,Query
Any update on my order,Query
Any update on my order urgently,Query
"Hi, What is the delivery time",Query
What is the status,Query
"Hello, Tell me the status",Query
"Hello, What is happening with my order",Query
"Hello, What is the status",Query
"Hello, What is the status",Query
What is the status please,Query
Can you update me please,Query
Where is my order asap,Query
Any update on my order asap,Query
"Hello, Tell me the status",Query
Where is my order,Query
Can I get details,Query
How long will it take urgently,Query
How long will it take,Query
What is happening with my order urgently,Query
"Hi, Tell me the status",Query
"Hello, When will it arrive",Query
When will it arrive,Query
"Hi, How long will it take",Query
Can you update me,Query
Can I get details urgently,Query
How long will it take,Query
"Hello, What is the delivery time",Query
"Hello, Tell me the status",Query
Where is my order,Query
Tell me the status asap,Query
"Hi, How long will it take",Query
Tell me the status,Query
Can I get details asap,Query
What is happening with my order please,Query
What is happening with my order asap,Query
Can you update me urgently,Query
What is happening with my order urgently,Query
"Hi, When will it arrive",Query
Can I get details,Query
How long will it take,Query
How long will it take,Query
What is happening with my order,Query
Any update on my order please,Query
"Hello, What is the status",Query
What is the status,Query
What is happening with my order urgently,Query
"Hi, When will it arrive",Query
Any update on my order,Query
What is the delivery time asap,Query
"Hello, Tell me the status",Query
"Hi, Any update on my order",Query
"Hi, What is the delivery time",Query
What is the status asap,Query
How long will it take urgently,Query
"Hello, Where is my order",Query
What is the status please,Query
How long will it take urgently,Query
Where is my order asap,Query
Any update on my order urgently,Query
Where is my order asap,Query
How long will it take asap,Query
When will it arrive please,Query
What is the status asap,Query
Where is my order please,Query
What is happening with my order asap,Query
Can I get details urgently,Query
Tell me the status please,Query
What is the delivery time please,Query
"Hi, Can I get details",Query
Any update on my order please,Query
What is happening with my order asap,Query
"Hi, Any update on my order",Query
What is happening with my order urgently,Query
What is the delivery time asap,Query
Tell me the status,Query
Where is my order urgently,Query
When will it arrive please,Query
Where is my order asap,Query
Any update on my order urgently,Query
